name,degrees,education,occupations,time_in_space,interests,nationality,age
Abdul Ahad Momand,[],"[{'institution': 'Habibia High School', 'year': None, 'qualification': None}, {'institution': 'Kabul Polytechnic University', 'year': 1978, 'qualification': None}, {'institution': 'Krasnodar Higher Military Aviation School of Pilots', 'year': None, 'qualification': None}, {'institution': 'Kiev Higher Air Force Engineering School', 'year': None, 'qualification': None}, {'institution': 'Gagarin Air Force Academy', 'year': 1987, 'qualification': None}]","['Fighter Pilot', 'Cosmonaut', 'Accountant']",8d 20h 26min,[],Germany,
Akihiko Hoshide,"['International Baccalaureate Diploma (United World College of South East Asia, 1987)', ""Bachelor's degree in mechanical engineering (Keio University, 1992)"", 'Master of Science degree in aerospace engineering (University of Houston Cullen College of Engineering, 1997)']","[{'institution': 'United World College of South East Asia', 'year': 1987, 'qualification': 'International Baccalaureate Diploma'}, {'institution': 'Keio University', 'year': 1992, 'qualification': ""Bachelor's degree in mechanical engineering""}, {'institution': 'University of Houston Cullen College of Engineering', 'year': 1997, 'qualification': 'Master of Science degree in aerospace engineering'}]","['Engineer', 'JAXA astronaut', 'Former commander of the International Space Station']",340 days 11 hours 41 minutes,[],Japanese,56.0
Alan Bartlett Shepard Jr.,"['BS (United States Naval Academy)', 'MA (Naval War College)']","[{'institution': 'United States Naval Academy', 'year': None, 'qualification': 'BS'}, {'institution': 'Naval War College', 'year': None, 'qualification': 'MA'}]","['Rear Admiral, USN', 'Astronaut', 'Test Pilot', 'Naval Aviator', 'Chief of the Astronaut Office']",9d 0h 16m,"['skiing', 'sailing']",American,
Alan Bean,"['Bachelor of Science in Aeronautical Engineering (University of Texas at Austin, 1955)']","[{'institution': 'University of Texas at Austin', 'year': 1955, 'qualification': 'Bachelor of Science in Aeronautical Engineering'}]","['American naval officer', 'Aviator', 'Aeronautical engineer', 'Test pilot', 'NASA astronaut', 'Painter']",69d 15h 45m,['painting'],American,
Alan G. Poindexter,"['Associate degree in engineering from Pensacola Junior College (1983)', ""Bachelor's degree of aerospace engineering from Georgia Institute of Technology (1986)"", 'Master of Science degree in aeronautical engineering from U.S. Naval Postgraduate School (1995)']","[{'institution': 'Pensacola Junior College', 'year': 1983, 'qualification': 'Associate degree in engineering'}, {'institution': 'Georgia Institute of Technology', 'year': 1986, 'qualification': ""Bachelor's degree of aerospace engineering""}, {'institution': 'U.S. Naval Postgraduate School', 'year': 1995, 'qualification': 'Master of Science degree in aeronautical engineering'}]","['American naval officer', 'Astronaut', 'Captain, USN', 'Dean of students at the Naval Postgraduate School']",27d 21h 9m,"['motorcycling', 'running', 'weight lifting', 'water skiing', 'boating', 'hunting', 'fishing']",American,
Albert Sacco,"['B.S. in chemical engineering (Northeastern University, 1973)', 'Ph.D. in chemical engineering (Massachusetts Institute of Technology, 1977)']","[{'institution': 'Northeastern University', 'year': 1973, 'qualification': 'B.S. in chemical engineering'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1977, 'qualification': 'Ph.D. in chemical engineering'}]","['Professor', 'Payload Specialist']",15d 21h 34m,[],American,76.0
Aleksandr Aleksandrov,[],[],"['Russian cavalry soldier', 'Writer']",,[],Russia,
Aleksandr Ivanchenkov,[],[],['Engineer'],147d 12h 37m,[],Soviet / Russian,84.0
Aleksandr Ivanovich Lazutkin,['Mechanical Engineering (Moscow Aviation Institute)'],"[{'institution': 'Moscow Aviation Institute', 'year': None, 'qualification': 'Degree in mechanical engineering'}]","['Flight engineer', 'Cosmonaut']",184d 22h 07m,[],Russian,67.0
Aleksandr Jr. Skvortsov,[],[],[],,[],,
