name,interests,nationality,age,cleaned_name,Mission.Role,Hobby Category,Recategorized Hobby Category,Hobby Category (Recategorized)
Aleksandr Kaleri,running,Russia,69.0,Aleksandr Kaleri,flight engineer,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Aleksandr Kaleri,reading,Russia,69.0,Aleksandr Kaleri,flight engineer,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits
Aleksandr Kaleri,gardening,Russia,69.0,Aleksandr Kaleri,flight engineer,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Aleksandr Kaleri,running,Russia,69.0,Aleksandr Kaleri,flight engineer,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Aleksandr Kaleri,reading,Russia,69.0,Aleksandr Kaleri,flight engineer,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits
Aleksandr Kaleri,gardening,Russia,69.0,Aleksandr Kaleri,flight engineer,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Aleksandr Kaleri,running,Russia,69.0,Aleksandr Kaleri,flight engineer,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Aleksandr Kaleri,reading,Russia,69.0,Aleksandr Kaleri,flight engineer,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits
Aleksandr Kaleri,gardening,Russia,69.0,Aleksandr Kaleri,flight engineer,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Aleksandr Kaleri,running,Russia,69.0,Aleksandr Kaleri,flight engineer,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Aleksandr Kaleri,reading,Russia,69.0,Aleksandr Kaleri,flight engineer,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits
Aleksandr Kaleri,gardening,Russia,69.0,Aleksandr Kaleri,flight engineer,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Aleksandr Kaleri,running,Russia,69.0,Aleksandr Kaleri,flight engineer,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Aleksandr Kaleri,reading,Russia,69.0,Aleksandr Kaleri,flight engineer,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits
Aleksandr Kaleri,gardening,Russia,69.0,Aleksandr Kaleri,flight engineer,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Aleksey Ovchinin,hunting,Russia,53.0,Aleksey Ovchinin,commander,Sports & Physical Activities,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Aleksey Ovchinin,fishing,Russia,53.0,Aleksey Ovchinin,commander,Sports & Physical Activities,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Aleksey Ovchinin,music,Russia,53.0,Aleksey Ovchinin,commander,Artistic & Creative Pursuits,Artistic & Creative Pursuits,Artistic & Creative Pursuits
Aleksey Ovchinin,hunting,Russia,53.0,Aleksey Ovchinin,commander,Sports & Physical Activities,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Aleksey Ovchinin,fishing,Russia,53.0,Aleksey Ovchinin,commander,Sports & Physical Activities,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Aleksey Ovchinin,music,Russia,53.0,Aleksey Ovchinin,commander,Artistic & Creative Pursuits,Artistic & Creative Pursuits,Artistic & Creative Pursuits
Aleksey Ovchinin,hunting,Russia,53.0,Aleksey Ovchinin,commander,Sports & Physical Activities,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Aleksey Ovchinin,fishing,Russia,53.0,Aleksey Ovchinin,commander,Sports & Physical Activities,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Aleksey Ovchinin,music,Russia,53.0,Aleksey Ovchinin,commander,Artistic & Creative Pursuits,Artistic & Creative Pursuits,Artistic & Creative Pursuits
Alexander Gerst,mountaineering,Germany,49.0,Alexander Gerst,flight engineer,Sports & Physical Activities,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Alexander Gerst,diving,Germany,49.0,Alexander Gerst,flight engineer,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Alexander Gerst,climbing,Germany,49.0,Alexander Gerst,flight engineer,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Alexander Gerst,skydiving,Germany,49.0,Alexander Gerst,flight engineer,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Alexander Gerst,mountaineering,Germany,49.0,Alexander Gerst,flight engineer,Sports & Physical Activities,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Alexander Gerst,diving,Germany,49.0,Alexander Gerst,flight engineer,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Alexander Gerst,climbing,Germany,49.0,Alexander Gerst,flight engineer,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Alexander Gerst,skydiving,Germany,49.0,Alexander Gerst,flight engineer,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Andrew Feustel,automobile restoration,United States,60.0,Andrew Feustel,msp,Technical & Maker Hobbies,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Andrew Feustel,skiing,United States,60.0,Andrew Feustel,msp,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
