name,degrees,education,occupations,time_in_space,interests,nationality,age
Abdul Ahad Momand,,"None (Habibia High School, None); None (Kabul Polytechnic University, 1978); None (Krasnodar Higher Military Aviation School of Pilots, None); None (Kiev Higher Air Force Engineering School, None); None (Gagarin Air Force Academy, 1987)",Fighter Pilot; Cosmonaut; Accountant,8d 20h 26min,,Germany,
Akihiko Hoshide,International Baccalaureate Diploma; Bachelor's degree; Master of Science degree,"International Baccalaureate Diploma (United World College of South East Asia, 1987); Bachelor's degree in mechanical engineering (Keio University, 1992); Master of Science degree in aerospace engineering (University of Houston Cullen College of Engineering, 1997)",Engineer; JAXA astronaut; Former commander of the International Space Station,340 days 11 hours 41 minutes,,Japanese,56
Alan Bartlett Shepard Jr.,Bachelor of Science degree; Master of Arts degree,"BS (United States Naval Academy, None); MA (Naval War College, None)","Rear Admiral, USN; Astronaut; Test Pilot; Naval Aviator; Chief of the Astronaut Office",9d 0h 16m,skiing; sailing,American,
Alan Bean,Bachelor of Science degree,"Bachelor of Science in Aeronautical Engineering (University of Texas at Austin, 1955)",American naval officer; Aviator; Aeronautical engineer; Test pilot; NASA astronaut; Painter,69d 15h 45m,painting,American,
Alan G. Poindexter,Associate degree; Bachelor's degree; Master of Science degree,"Associate degree in engineering (Pensacola Junior College, 1983); Bachelor's degree of aerospace engineering (Georgia Institute of Technology, 1986); Master of Science degree in aeronautical engineering (U.S. Naval Postgraduate School, 1995)","American naval officer; Astronaut; Captain, USN; Dean of students at the Naval Postgraduate School",27d 21h 9m,motorcycling; running; weight lifting; water skiing; boating; hunting; fishing,American,
Albert Sacco,Bachelor of Science degree; Doctor of Philosophy (PhD),"B.S. in chemical engineering (Northeastern University, 1973); Ph.D. in chemical engineering (Massachusetts Institute of Technology, 1977)",Professor; Payload Specialist,15d 21h 34m,,American,76
Aleksandr Aleksandrov,,,Russian cavalry soldier; Writer,,,Russia,
Aleksandr Ivanchenkov,,,Engineer,147d 12h 37m,,Soviet / Russian,84
Aleksandr Ivanovich Lazutkin,Mechanical Engineering,"Degree in mechanical engineering (Moscow Aviation Institute, None)",Flight engineer; Cosmonaut,184d 22h 07m,,Russian,67
Aleksandr Jr. Skvortsov,,,,,,,
Aleksandr Kaleri,Specialist degree,"Specialist in Aircraft Flight Dynamics and Control (Moscow Institute of Physics and Technology, 1979); Specialist in Mechanics of Fluids and Plasma (Moscow Institute of Physics and Technology, 1983)",Flight engineer; Cosmonaut,769 days 6 hours 37 minutes,running; reading; gardening,Russia,69
Aleksandr Laveykin,,,Flight engineer; Cosmonaut,174 days 3 hours 25 minutes,,Soviet,74
Aleksandr Poleshchuk,Diploma,"Mechanical engineering diploma (Moscow Aviation Institute, 1977)","Flight engineer; Captain, Russian Air Force; Test engineer; Test cosmonaut",179d 00h 43m,,Russian,71
Aleksandr Samokutyaev,,"None (Penza Polytechnical Institute, None); None (Chernigov Higher Military Pilot School, 1992); Pilot-Engineer (Gagarin Air Force Academy, 2000)",Pilot; Colonel; Politician; Former Cosmonaut,331d 11h 25m,,Russia,55
Aleksandr Serebrov,Graduated from Moscow Institute of Physics and Technology,"None (Moscow Institute of Physics and Technology, 1967)",Flight engineer; Cosmonaut,372d 22h 52m,,Soviet / Russian,69
Aleksandr Stepanovich Viktorenko,,,Test pilot; Colonel; Cosmonaut,489d 01h 33m,,"Soviet , Russian",76
Aleksei Gubarev,"Graduated from the Soviet Naval Aviation School, 1952","None (Soviet Naval Aviation School, 1952); None (Gagarin Air Force Academy, None)","Cosmonaut; Pilot; Major General, Soviet Naval Air Force",37d 11h 36m,,Soviet,83
Aleksei Yeliseyev,Graduate; Postgraduate,"Graduate (Bauman Higher Technical School, 1957); Postgraduate (Moscow Institute of Physics and Technology, 1962)",Engineer; Cosmonaut,8d 22h 20m,,Soviet,91
Aleksey Ovchinin,Pilot-Engineer,"Cadet (Borisoglebsk Higher Military Pilot School, None); Pilot-Engineer (Yeisk Higher Military Pilot School, 1992); None (Russian Presidential Academy of National Economy and Public Administration, None)","Test cosmonaut; Podpolkovnik, Russian Air Force (reserve)","595 days, 4 hours, 27 minutes",hunting; fishing; music,Russia,53
Alexander Gerst,Degree in geophysics; Master's degree; Doctorate in natural sciences,"Degree in geophysics with distinction (University of Karlsruhe (now Karlsruhe Institute of Technology), None); Master's degree in earth sciences (Victoria University of Wellington, None); Doctorate in natural sciences (University of Hamburg, 2010)",Geophysicist; Astronaut,"362 days, 1 hour, 50 minutes",mountaineering; diving; climbing; skydiving,Germany,49
Alexander Misurkin,Pilot-Engineer,"None (Vocational school #1 in Oryol, 1994); None (Kacha High Air Force Pilot School, None); Pilot-Engineer (Armavir Military Aviation Institute, 1999)","Major, Russian Air Force; Cosmonaut",346 days 07 hours 04 minutes,,Russia,47
Alexander Volkov,,,Mixed martial artist,,,Russian,36
Alexei Leonov,,"Honours degree (Chuguev Higher Air Force Pilots School, 1957)",Fighter pilot; Cosmonaut; Air Force major general; Writer; Artist,"7 days, 33 minutes, 3 seconds",art,Russia,
Alfred Worden,Bachelor of Science degree; Master of Science degree,"BS in Military Science (United States Military Academy, 1955); MS in Aerospace Engineering (University of Michigan, 1963); MS in Instrumentation Engineering (University of Michigan, 1963)","Test Pilot; Colonel, USAF; NASA Astronaut; Engineer",12d 7h 12m,bowling; water skiing; golf; racquetball; playing the piano,American,
Alvin Drew,Bachelor of Science degree; Master of Science degree; Honorary Doctorate,"BS in Physics and Astronautical Engineering (United States Air Force Academy, 1984); MS in Aerospace Science (Embry-Riddle Aeronautical University, None); MS in Political Science (Air War College of Air University, None); Honorary Doctor of Science (Abertay University, 2011)","United States Air Force Officer; Colonel, USAF; NASA Astronaut; Director of Space Sustainability, NASA",25d 13h,,United States,62
Anatoly Artsebarsky,,,"Test Pilot; Colonel, Russian Air Force; Cosmonaut",144d 15h 21m,,Soviet Union,69
