name,degrees,nationality,age,cleaned_name,Mission.Role,degree level,major,major category
Akihiko Hoshide,"International Baccalaureate Diploma (United World College of South East Asia, 1987)",Japanese,56.0,Akihiko Hoshide,msp,bachelor,,
Akihiko Hoshide,"Bachelor's degree in mechanical engineering (Keio University, 1992)",Japanese,56.0,Akihiko Hoshide,msp,bachelor,Mechanical Engineering,engineering
Akihiko Hoshide,"Master of Science degree in aerospace engineering (University of Houston Cullen College of Engineering, 1997)",Japanese,56.0,Akihiko Hoshide,msp,bachelor,Science,natural science
Akihiko Hoshide,"International Baccalaureate Diploma (United World College of South East Asia, 1987)",Japanese,56.0,Akihiko Hoshide,flight engineer,bachelor,,
Akihiko Hoshide,"Bachelor's degree in mechanical engineering (Keio University, 1992)",Japanese,56.0,Akihiko Hoshide,flight engineer,bachelor,Mechanical Engineering,engineering
Akihiko Hoshide,"Master of Science degree in aerospace engineering (University of Houston Cullen College of Engineering, 1997)",Japanese,56.0,Akihiko Hoshide,flight engineer,bachelor,Science,natural science
Alan Poindexter,Associate degree in engineering from Pensacola Junior College (1983),American,,Alan Poindexter,pilot,bachelor,,
Alan Poindexter,Bachelor's degree of aerospace engineering from Georgia Institute of Technology (1986),American,,Alan Poindexter,pilot,bachelor,Aerospace Engineering,engineering
Alan Poindexter,Master of Science degree in aeronautical engineering from U.S. Naval Postgraduate School (1995),American,,Alan Poindexter,pilot,,Science,natural science
Alan Poindexter,Associate degree in engineering from Pensacola Junior College (1983),American,,Alan Poindexter,commander,bachelor,,
Alan Poindexter,Bachelor's degree of aerospace engineering from Georgia Institute of Technology (1986),American,,Alan Poindexter,commander,bachelor,Aerospace Engineering,engineering
Alan Poindexter,Master of Science degree in aeronautical engineering from U.S. Naval Postgraduate School (1995),American,,Alan Poindexter,commander,,Science,natural science
Aleksandr Aleksandrov,,Russia,,Aleksandr Aleksandrov,flight engineer,,,
Aleksandr Aleksandrov,,Russia,,Aleksandr Aleksandrov,flight engineer,,,
Aleksandr Aleksandrov,,Russia,,Aleksandr Aleksandrov,pilot,,,
Aleksandr Ivanchenkov,,Soviet / Russian,84.0,Aleksandr Ivanchenkov,flight engineer,,,
Aleksandr Ivanchenkov,,Soviet / Russian,84.0,Aleksandr Ivanchenkov,flight engineer,,,
Aleksandr Kaleri,"Specialist in Aircraft Flight Dynamics and Control (Moscow Institute of Physics and Technology, 1979)",Russia,69.0,Aleksandr Kaleri,flight engineer,,Physics,natural science
Aleksandr Kaleri,"Specialist in Mechanics of Fluids and Plasma (Moscow Institute of Physics and Technology, 1983)",Russia,69.0,Aleksandr Kaleri,flight engineer,,Physics,natural science
Aleksandr Kaleri,"Specialist in Aircraft Flight Dynamics and Control (Moscow Institute of Physics and Technology, 1979)",Russia,69.0,Aleksandr Kaleri,flight engineer,,Physics,natural science
Aleksandr Kaleri,"Specialist in Mechanics of Fluids and Plasma (Moscow Institute of Physics and Technology, 1983)",Russia,69.0,Aleksandr Kaleri,flight engineer,,Physics,natural science
Aleksandr Kaleri,"Specialist in Aircraft Flight Dynamics and Control (Moscow Institute of Physics and Technology, 1979)",Russia,69.0,Aleksandr Kaleri,flight engineer,,Physics,natural science
Aleksandr Kaleri,"Specialist in Mechanics of Fluids and Plasma (Moscow Institute of Physics and Technology, 1983)",Russia,69.0,Aleksandr Kaleri,flight engineer,,Physics,natural science
Aleksandr Kaleri,"Specialist in Aircraft Flight Dynamics and Control (Moscow Institute of Physics and Technology, 1979)",Russia,69.0,Aleksandr Kaleri,flight engineer,,Physics,natural science
Aleksandr Kaleri,"Specialist in Mechanics of Fluids and Plasma (Moscow Institute of Physics and Technology, 1983)",Russia,69.0,Aleksandr Kaleri,flight engineer,,Physics,natural science
Aleksandr Kaleri,"Specialist in Aircraft Flight Dynamics and Control (Moscow Institute of Physics and Technology, 1979)",Russia,69.0,Aleksandr Kaleri,flight engineer,,Physics,natural science
