Profile.Astronaut Numbers.Overall,Profile.Astronaut Numbers.Nationwide,Profile.Name,Profile.Gender,Profile.Birth Year,Profile.Nationality,Profile.Military,Profile.Selection.Group,Profile.Selection.Year,Profile.Lifetime Statistics.Mission count,Mission.Role,Mission.Year,Mission.Name,Mission.Vechicles.Ascent,Mission.Vechicles.Orbit,Mission.Vechicles.Decent,Mission.Durations.Mission duration,Profile.Lifetime Statistics.Mission duration,Mission.Durations.EVA duration,Profile.Lifetime Statistics.EVA duration,cleaned_name,international_country,international_gender,international_flights,international_total_flights,international_flight_time,wiki_degrees,wiki_education,wiki_occupations,wiki_time_in_space,wiki_interests,wiki_nationality,wiki_age
1,1,"Gagarin, Yuri",male,1934,U.S.S.R/Russia,True,TsPK-1,1960,1,pilot,1961,Vostok 1,Vostok 1,Vostok 2,Vostok 3,1.77,1.77,0.0,0.0,Yuri Gagarin,Soviet Union,Man,Vostok 1 (1961),1,000:01:48,Master Of Sports Of The Soviet Union; Master Of Sports Of The Soviet Union And The First Pilot; Master Of Sports Of The Soviet Union[102]And The Firstpi; Masters Of Sport Of The Ussr,"- Soviet Air Force service
  - In 1955, Gagarin was accepted to the First Chkalov Higher Air Force Pilots School in Orenburg; [14]

Education and early career
In 1946, the family moved to Gzhatsk, where Gagarin continued his education; [86]He was also a basketball fan and coached the Saratov Industrial Technical School team, as well as being a referee; - In 1946, the family moved to Gzhatsk, where Gagarin continued his education; He graduated from flight school the next day and was posted to the Luostari Air Base , close to the Norwegian border in Murmansk Oblast , for a two-year assignment with the Northern Fleet",Professor; Doctor; Fighter Pilot; Commander; Lieutenant,None,"in aeroplanes was energized after a
              
               yakovlev; in space exploration following the launch of
              
               luna 3; in aeroplanes was energized after a yakovlev fighter plane crash landed in klushino during the war",Soviet,1934
2,2,"Titov, Gherman",male,1935,U.S.S.R/Russia,True,TsPK-1,1960,1,pilot,1961,Vostok 2,Vostok 2,Vostok 2,Vostok 2,25.0,25.3,0.0,0.0,Gherman Titov,Soviet Union,Man,Vostok 2 (1961),1,001:01:18,Master Of Sports(1961); Master Of Sports; Master Of Sports (1961),"of Public Educational Institution of Higher Professional Training MGUL
             

              ISBN
             


               978-5-8135-0510-2; - Titov was born in the village of Verkhneye Zhilino in the Altai Krai and went to school at the Stalingrad Military Aviation School; - Biography
  - Titov was born in the village of Verkhneye Zhilino in the Altai Krai and went to school at the Stalingrad Military Aviation School; Biography
Titov was born in the village ofVerkhneye Zhilinoin theAltai Kraiand went to school at the Stalingrad Military Aviation School; of Public Educational Institution of Higher Professional Training MGULISBN978-5-8135-0510-2",Test Pilot; Colonel; Cosmonaut; General; Air Force Pilot,None,,Soviet,1935
3,1,"Glenn, John H., Jr.",male,1921,U.S.,True,NASA Astronaut Group 1,1959,2,pilot,1962,MA-6,MA-6,MA-6,MA-6,5.0,218.0,0.0,0.0,Glenn John H. Jr.,,,,,,"Doctorates From; Bachelor'S Degree; Bachelor Of Science; Doctorates From Nihon University In Tokyo; Wagner College I; Bachelor'S Degree Or Equivalent, And Be 5 Feet 11 Inches (","In 1999, Glenn became a 33rd-degreeScottish RiteMason in the Valley of Cincinnati (NMJ); [24]In July 1951, he traveled to theAmphibious Warfare SchoolatMarine Corps Base Quanticoin northernVirginiafor a six-month course; Annie majored in music with minors in secretarial studies and physical education and competed on the swimming and volleyball teams, graduating in 1942; American Academy of Achievement; [13]
Glenn attendedNew Concord High School, where he played on thevarsityfootballteam as acenterandlinebacker",Fighter Pilot; Naval Aviator; Commander; Scientist; Lieutenant,None,"ed in continuing, sufficient for the astronaut corps nasa wanted; in flying; ing engineering",Korean,1921
3,1,"Glenn, John H., Jr.",male,1921,U.S.,True,NASA Astronaut Group 2,1959,2,PSP,1998,STS-95,STS-95,STS-95,STS-95,213.0,218.0,0.0,0.0,Glenn John H. Jr.,,,,,,"Doctorates From; Bachelor'S Degree; Bachelor Of Science; Doctorates From Nihon University In Tokyo; Wagner College I; Bachelor'S Degree Or Equivalent, And Be 5 Feet 11 Inches (","In 1999, Glenn became a 33rd-degreeScottish RiteMason in the Valley of Cincinnati (NMJ); [24]In July 1951, he traveled to theAmphibious Warfare SchoolatMarine Corps Base Quanticoin northernVirginiafor a six-month course; Annie majored in music with minors in secretarial studies and physical education and competed on the swimming and volleyball teams, graduating in 1942; American Academy of Achievement; [13]
Glenn attendedNew Concord High School, where he played on thevarsityfootballteam as acenterandlinebacker",Fighter Pilot; Naval Aviator; Commander; Scientist; Lieutenant,None,"ed in continuing, sufficient for the astronaut corps nasa wanted; in flying; ing engineering",Korean,1921
4,2,"Carpenter, M. Scott",male,1925,U.S.,True,NASA- 1,1959,1,Pilot,1962,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,5.0,5.0,0.0,0.0,M. Scott Carpenter,United States,Man,Mercury-Atlas 7 (1962),1,000:04:56,"Bachelor Of Science Degree, On The Grounds That ""His Subse; Bachelor Of Science; Master Scuba Diver; Masterdiving Accident; Bachelor'S Degrees","Scott Carpenter Elementary School in
                
                 Old Bridge, New Jersey; When Carpenter graduated from high school in 1943, he became a V-12A aviation cadet atColorado CollegeinColorado Springs; DPP was restricted to those with bachelor's degrees , so it was assumed that Carpenter had one; Scott Carpenter Elementary School (340927003516)""; - ^""Carpenter Elementary School""",Fighter Pilot; Naval Aviator; Commander; Lieutenant; Test Pilot,None,"of space science; in underwater research, cousteau suggested that he consider the u; in underwater research, cousteau suggested that he consider the u",American,1925
5,2,"Nikolayev, Andriyan",male,1929,U.S.S.R/Russia,True,TsPK-1,1960,2,pilot,1962,Vostok 3,Vostok 3,Vostok 3,Vostok 3,94.0,519.33,0.0,0.0,Andriyan Nikolayev,Soviet Union,Man,"Vostok 3 (1962), Soyuz 9 (1970)",2,021:15:26,Master Of Sports Of The Ussr; Master Of Sports Of The Ussr(1962); Master Of Sports Of The Ussr (1962); Masters Of Sport Of The Ussr,"of Public Educational Institution of Higher Professional Training MGUL
              

                ISBN
               


                 978-5-8135-0510-2; - Education and career
  - Nikolayev supported his family following the death of his father in 1944, however this was not preferred by his mother, who preferred that he earn an education; Nikolayev later entered medical school before he joined the Soviet army; of Public Educational Institution of Higher Professional Training MGULISBN978-5-8135-0510-2; [3]

Education and career
Nikolayev supported his family following the death of his father in 1944, however this was not preferred by his mother, who preferred that he earn an education",Cosmonaut; General; Doctor; Major,None,,Soviet,1929
5,2,"Nikolayev, Andriyan",male,1929,U.S.S.R/Russia,True,TsPK-2,1960,2,pilot,1970,Soyuz 9,Soyuz 9,Soyuz 9,Soyuz 9,424.0,519.33,0.0,0.0,Andriyan Nikolayev,Soviet Union,Man,"Vostok 3 (1962), Soyuz 9 (1970)",2,021:15:26,Master Of Sports Of The Ussr; Master Of Sports Of The Ussr(1962); Master Of Sports Of The Ussr (1962); Masters Of Sport Of The Ussr,"of Public Educational Institution of Higher Professional Training MGUL
              

                ISBN
               


                 978-5-8135-0510-2; - Education and career
  - Nikolayev supported his family following the death of his father in 1944, however this was not preferred by his mother, who preferred that he earn an education; Nikolayev later entered medical school before he joined the Soviet army; of Public Educational Institution of Higher Professional Training MGULISBN978-5-8135-0510-2; [3]

Education and career
Nikolayev supported his family following the death of his father in 1944, however this was not preferred by his mother, who preferred that he earn an education",Cosmonaut; General; Doctor; Major,None,,Soviet,1929
6,4,"Popovich, Pavel",male,1930,U.S.S.R/Russia,True,TsPK-1,1960,2,pilot,1962,Vostok 4,Vostok 4,Vostok 4,Vostok 4,70.93,448.45,0.0,0.0,Pavel Popovich,Soviet Union,Man,"Vostok 4 (1962), Soyuz 14 (1974)",2,018:16:26,Master Of Sports Of The Ussr; Master Of Sports Of The Ussr A; Notes:,"He then went on to train at the Military Officers of the Air Force Aviation Training School inGrozny, until 1954,[4]when he joined the Soviet Air Force; [6]
In 1947, Popovich leftvocational schoolinBila Tserkvawith qualifications as a carpenter; - Military
  - In 1952, Popovich graduated from a course at the Stalingrad Military Aviation School near Novosibirsk; - In 1984 Popovich joined the Russian Academy of Sciences ' newly created All-Union Investigation Committee for Anomalous Aerial Phenomena and became head of the Academy's UFO Commission; [5]

Military
In 1952, Popovich graduated from a course at the Stalingrad Military Aviation School nearNovosibirsk",Commander; Lieutenant; Test Pilot; Colonel; Cosmonaut,None,,Soviet,1930
6,4,"Popovich, Pavel",male,1930,U.S.S.R/Russia,True,TsPK-2,1960,2,commander,1974,Soyuz 14,Soyuz 14,Soyuz 14,Soyuz 14,377.0,448.45,0.0,0.0,Pavel Popovich,Soviet Union,Man,"Vostok 4 (1962), Soyuz 14 (1974)",2,018:16:26,Master Of Sports Of The Ussr; Master Of Sports Of The Ussr A; Notes:,"He then went on to train at the Military Officers of the Air Force Aviation Training School inGrozny, until 1954,[4]when he joined the Soviet Air Force; [6]
In 1947, Popovich leftvocational schoolinBila Tserkvawith qualifications as a carpenter; - Military
  - In 1952, Popovich graduated from a course at the Stalingrad Military Aviation School near Novosibirsk; - In 1984 Popovich joined the Russian Academy of Sciences ' newly created All-Union Investigation Committee for Anomalous Aerial Phenomena and became head of the Academy's UFO Commission; [5]

Military
In 1952, Popovich graduated from a course at the Stalingrad Military Aviation School nearNovosibirsk",Commander; Lieutenant; Test Pilot; Colonel; Cosmonaut,None,,Soviet,1930
7,3,"Schirra, Walter M., Jr.",male,1923,U.S.,True,1959 NASA group 1,1959,3,pilot,1962,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,9.22,295.2,0.0,0.0,Schirra Walter M. Jr.,,,,,,Bachelor Of Science Degree In 1945 After Only Three Years; Bachelor Of Science Degree From The United States Naval Ac; Bachelor Of Science; Doctorates Of Science; Doctorates Of Science From Three Colleges And Universities:,"He graduated with aBachelor of Sciencedegree in 1945 after only three years instead of four, as the Naval Academy had a wartime accelerated curriculum; Schirra Elementary School""; [43]
Schirra was a 33rd DegreeMasonand part of theAmerican Institute of Aeronautics and Astronautics, as well as afellowof theAmerican Astronautical Society; United States Naval Academy; He graduated with a
           
            Bachelor of Science
           
           degree in 1945 after only three years instead of four, as the Naval Academy had a wartime accelerated curriculum",Fighter Pilot; Naval Aviator; Commander; Test Pilot; Surgeon,None,,American,1923
